Date,Country,Name,Count,Length
21 December 2015,ht,one_way,0,0.0
21 December 2015,ht,track,19162,5436.02
21 December 2015,ht,residential,18080,2735.24
21 December 2015,ht,primary,955,1133.73
21 December 2015,ht,turn_restrict,0,0.0
21 December 2015,ht,roads_with_names,12675,3707.91
21 December 2015,ht,motorway,5,2.34
21 December 2015,ht,roads_with_second_lang,0,0.0
21 December 2015,ht,road,1136,328.3
21 December 2015,ht,secondary_link,77,1.13
21 December 2015,ht,path,14233,2259.98
21 December 2015,ht,roads_with_designation,0,0.0
21 December 2015,ht,raceway,4,2.43
21 December 2015,ht,unclassified,9188,6111.77
21 December 2015,ht,tertiary,1567,1031.87
21 December 2015,ht,secondary,1281,1294.09
14 December 2015,ht,primary_link,20,0.69
14 December 2015,ht,living_street,247,43.46
14 December 2015,ht,service,7776,616.11
14 December 2015,ht,one_way,0,0.0
14 December 2015,ht,track,19150,5436.37
14 December 2015,ht,residential,18041,2727.97
14 December 2015,ht,primary,954,1133.73
14 December 2015,ht,turn_restrict,0,0.0
14 December 2015,ht,roads_with_names,12610,3694.53
14 December 2015,ht,motorway,5,2.34
14 December 2015,ht,roads_with_second_lang,0,0.0
14 December 2015,ht,road,1136,328.3
14 December 2015,ht,secondary_link,77,1.13
14 December 2015,ht,path,14218,2258.69
14 December 2015,ht,roads_with_designation,0,0.0
14 December 2015,ht,raceway,4,2.43
14 December 2015,ht,unclassified,9187,6111.56
14 December 2015,ht,tertiary,1565,1031.51
14 December 2015,ht,secondary,1281,1294.09
28 December 2015,ht,primary_link,20,0.69
28 December 2015,ht,living_street,249,43.47
28 December 2015,ht,service,7777,616.3
28 December 2015,ht,one_way,0,0.0
28 December 2015,ht,track,19188,5444.03
28 December 2015,ht,residential,18145,2740.71
28 December 2015,ht,primary,969,1139.91
28 December 2015,ht,turn_restrict,0,0.0
28 December 2015,ht,roads_with_names,12710,3712.03
28 December 2015,ht,motorway,5,2.34
28 December 2015,ht,roads_with_second_lang,0,0.0
28 December 2015,ht,road,1136,328.31
28 December 2015,ht,secondary_link,75,1.0
28 December 2015,ht,path,14273,2264.68
28 December 2015,ht,roads_with_designation,0,0.0
28 December 2015,ht,raceway,4,2.43
