Date,Country,Name,Count,Length
07 December 2015,gl,secondary_link,16,0.62
07 December 2015,gl,path,481,793.36
07 December 2015,gl,roads_with_designation,0,0.0
07 December 2015,gl,raceway,0,0.0
07 December 2015,gl,unclassified,303,293.21
07 December 2015,gl,tertiary,75,115.58
07 December 2015,gl,secondary,143,76.37
11 January 2016,gl,primary_link,1,20.71
11 January 2016,gl,living_street,18,2.71
11 January 2016,gl,service,411,78.5
11 January 2016,gl,one_way,0,0.0
11 January 2016,gl,track,383,255.02
11 January 2016,gl,residential,702,351.37
11 January 2016,gl,primary,19,78.41
11 January 2016,gl,turn_restrict,0,0.0
11 January 2016,gl,roads_with_names,539,991.8
11 January 2016,gl,motorway,9,62.32
11 January 2016,gl,roads_with_second_lang,0,0.0
11 January 2016,gl,road,24,48.86
11 January 2016,gl,secondary_link,16,0.62
11 January 2016,gl,path,481,793.39
11 January 2016,gl,roads_with_designation,0,0.0
11 January 2016,gl,raceway,0,0.0
11 January 2016,gl,unclassified,303,293.21
11 January 2016,gl,tertiary,75,115.58
11 January 2016,gl,secondary,143,76.37
25 January 2016,gl,primary_link,1,20.71
25 January 2016,gl,living_street,18,2.71
25 January 2016,gl,service,413,78.77
25 January 2016,gl,one_way,0,0.0
25 January 2016,gl,track,383,255.02
25 January 2016,gl,residential,695,348.33
25 January 2016,gl,primary,19,78.41
25 January 2016,gl,turn_restrict,0,0.0
25 January 2016,gl,roads_with_names,542,993.41
25 January 2016,gl,motorway,9,62.32
25 January 2016,gl,roads_with_second_lang,0,0.0
25 January 2016,gl,road,24,48.86
25 January 2016,gl,secondary_link,16,0.62
25 January 2016,gl,path,482,793.62
25 January 2016,gl,roads_with_designation,0,0.0
25 January 2016,gl,raceway,0,0.0
25 January 2016,gl,unclassified,304,292.83
25 January 2016,gl,tertiary,75,115.58
25 January 2016,gl,secondary,152,80.43
14 December 2015,gl,primary_link,1,20.71
14 December 2015,gl,living_street,18,2.71
14 December 2015,gl,service,411,78.5
14 December 2015,gl,one_way,0,0.0
14 December 2015,gl,track,383,255.02
14 December 2015,gl,residential,702,351.37
14 December 2015,gl,primary,19,78.41
14 December 2015,gl,turn_restrict,0,0.0
14 December 2015,gl,roads_with_names,539,991.8
14 December 2015,gl,motorway,9,62.32
14 December 2015,gl,roads_with_second_lang,0,0.0
14 December 2015,gl,road,24,48.86
14 December 2015,gl,secondary_link,16,0.62
14 December 2015,gl,path,481,793.36
14 December 2015,gl,roads_with_designation,0,0.0
14 December 2015,gl,raceway,0,0.0
14 December 2015,gl,unclassified,303,293.21
14 December 2015,gl,tertiary,75,115.58
14 December 2015,gl,secondary,143,76.37
28 December 2015,gl,primary_link,1,20.71
28 December 2015,gl,living_street,18,2.71
28 December 2015,gl,service,411,78.5
28 December 2015,gl,one_way,0,0.0
28 December 2015,gl,track,383,255.02
28 December 2015,gl,residential,702,351.37
28 December 2015,gl,primary,19,78.41
28 December 2015,gl,turn_restrict,0,0.0
28 December 2015,gl,roads_with_names,539,991.8
28 December 2015,gl,motorway,9,62.32
28 December 2015,gl,roads_with_second_lang,0,0.0
28 December 2015,gl,road,24,48.86
28 December 2015,gl,secondary_link,16,0.62
28 December 2015,gl,path,481,793.36
28 December 2015,gl,roads_with_designation,0,0.0
28 December 2015,gl,raceway,0,0.0
28 December 2015,gl,unclassified,303,293.21
28 December 2015,gl,tertiary,75,115.58
28 December 2015,gl,secondary,143,76.37
18 January 2016,gl,primary_link,1,20.71
18 January 2016,gl,living_street,18,2.71
18 January 2016,gl,service,411,78.48
18 January 2016,gl,one_way,0,0.0
18 January 2016,gl,track,383,255.02
18 January 2016,gl,residential,695,348.33
18 January 2016,gl,primary,19,78.41
18 January 2016,gl,turn_restrict,0,0.0
18 January 2016,gl,roads_with_names,542,993.41
18 January 2016,gl,motorway,9,62.32
18 January 2016,gl,roads_with_second_lang,0,0.0
18 January 2016,gl,road,24,48.86
18 January 2016,gl,secondary_link,16,0.62
18 January 2016,gl,path,481,793.39
